Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7,Block 8,Block 9
842.0,816.0,488.0,813.0,716.0,243.0,798.0,874.0,57.0
403.0,269.0,851.0,428.0,85.0,582.0,910.0,708.0,157.0
